Season,team1,team2,result,odds1,daynum,loc,avg_score_1,avg_diff_1,avg_numot_1,avg_fgm_1,avg_fga_1,avg_fgm3_1,avg_ftm_1,avg_fta_1,avg_or_1,avg_dr_1,avg_ast_1,avg_to_1,avg_stl_1,avg_blk_1,avg_pf_1,seed1,avg_score_2,avg_diff_2,avg_numot_2,avg_fgm_2,avg_fga_2,avg_fgm3_2,avg_ftm_2,avg_fta_2,avg_or_2,avg_dr_2,avg_ast_2,avg_to_2,avg_stl_2,avg_blk_2,avg_pf_2,seed2
2003,1411,1421,0,0,134,0,610.8,1.966666667,0.033333333,24.73333333,55.26666667,5.933333333,17.4,28.06666667,13.16666667,24.8,14.2,15.23333333,6.433333333,2.233333333,18.3,0,819.6551724,-7.24137931,0.172413793,24.37931034,56.79310345,6.482758621,15.96551724,20.93103448,12.27586207,23.17241379,13.03448276,16.20689655,7.068965517,3,19.10344828,0
2003,1436,1112,0,0,136,0,542.2068966,4.655172414,0.068965517,24.82758621,55.86206897,5.275862069,12.86206897,19.55172414,12.96551724,25.72413793,14.20689655,14.06896552,6.862068966,2.965517241,15.89655172,0,196.1071429,14.96428571,0.071428571,30.32142857,65.71428571,7.035714286,17.53571429,25,15.17857143,27.64285714,17.64285714,14.78571429,8.464285714,4.214285714,17.75,0
2003,1272,1113,0,0,136,0,322.5172414,8.689655172,0.034482759,26.27586207,60,7,14.96551724,22.89655172,14.06896552,25.96551724,16.62068966,13.79310345,7.379310345,5.068965517,18.75862069,0,472.2758621,6.793103448,0.068965517,27.20689655,56.89655172,4,17.55172414,26.20689655,13.68965517,23.31034483,15.55172414,14,5.206896552,4.24137931,19.4137931,0
2003,1166,1141,0,0,136,0,212.2424242,14.90909091,0.03030303,28.6969697,57.45454545,7.96969697,13.87878788,20.03030303,10.87878788,23.18181818,16.81818182,13.36363636,8.393939394,4.454545455,17.27272727,0,302.1724138,6.103448276,0,26.62068966,52.68965517,6.827586207,19.27586207,25.17241379,10.5862069,23.27586207,15.62068966,18.24137931,7.103448276,4,20.96551724,0
2003,1301,1143,0,0,136,0,567.1333333,4.4,0.033333333,24.33333333,53.33333333,7.966666667,15.76666667,20.46666667,9.733333333,22.03333333,14.66666667,14.2,7.766666667,3.066666667,18.66666667,0,370.4137931,4.724137931,0.103448276,27.34482759,58.72413793,6.413793103,13.37931034,19.51724138,11.24137931,24.37931034,16,14.17241379,6.551724138,2.793103448,17.10344828,0
2003,1140,1163,0,0,136,0,349.1290323,8.774193548,0.032258065,24.03225806,51.25806452,6.193548387,18.19354839,24.16129032,10.87096774,24.41935484,13.41935484,13.74193548,6.935483871,2.516129032,21.41935484,0,408.5333333,8.633333333,0.033333333,29.53333333,62.2,6.066666667,14.9,22.1,14.76666667,27.9,15.63333333,15.8,5.933333333,7.733333333,18.4,0
2003,1161,1181,0,0,136,0,548.0666667,1.333333333,0.033333333,26.4,52.1,4.2,17,24.26666667,10.8,23.46666667,15.5,16.13333333,5.333333333,4.233333333,20.56666667,0,303.4,11.56666667,0.066666667,27.36666667,60.33333333,7.333333333,19.9,28.06666667,13.76666667,23.1,13.83333333,14.03333333,8.5,5.133333333,21.26666667,0
2003,1153,1211,0,0,136,0,497,5.821428571,0,22.89285714,56.67857143,6.678571429,14.85714286,21.53571429,12.14285714,23.39285714,12.28571429,10.60714286,5.178571429,4.25,18.96428571,0,370.7419355,8.870967742,0.096774194,26.06451613,55.4516129,7.161290323,17.77419355,24.64516129,11.93548387,25.32258065,15.74193548,14.5483871,6.806451613,3.516129032,18.64516129,0
2003,1443,1228,0,0,136,0,427.9032258,6.677419355,0.032258065,25.70967742,55.90322581,7.709677419,13.96774194,21.09677419,12.16129032,23.25806452,14.19354839,15.16129032,7.064516129,3.548387097,18.4516129,0,308.1666667,14.03333333,0,27.1,55.8,7.433333333,13.8,19.1,9.733333333,25.4,18.26666667,13.16666667,7,3.1,19.13333333,0
2003,1429,1242,0,0,136,0,431.5666667,5.866666667,0.066666667,23.7,51.93333333,4.033333333,14.53333333,20.23333333,12.63333333,22.36666667,13.9,12.23333333,5.066666667,2,16.1,0,355.3666667,14.96666667,0,30.23333333,62.3,4.8,16.06666667,24.13333333,14.3,26.9,16.73333333,14.9,10.13333333,4.9,16.7,0
2003,1221,1266,0,0,136,0,229.6551724,11.13793103,0,24.20689655,52.72413793,5.310344828,15.62068966,22.13793103,12.06896552,24.31034483,15.4137931,13.93103448,7.965517241,4.482758621,18.37931034,0,291.1785714,10.71428571,0.035714286,27.21428571,56.25,5.785714286,18.17857143,23.60714286,13.10714286,24.07142857,16.32142857,13.57142857,6,3.642857143,18.64285714,0
2003,1356,1281,0,0,136,0,332.3,6.433333333,0.066666667,27.36666667,57.86666667,6.1,13.7,19.4,10.83333333,22.46666667,13.56666667,12.5,7.966666667,3.2,19.33333333,0,464.516129,5.290322581,0,26.16129032,59.19354839,7.483870968,11.96774194,18.16129032,13.48387097,25.90322581,13.74193548,13.61290323,5.709677419,4.322580645,16.87096774,0
2003,1454,1323,0,0,136,0,399.2333333,7.166666667,0,27.26666667,57.63333333,7.766666667,14.8,21.43333333,11.53333333,23,17.1,14.86666667,8.8,3.6,20.13333333,0,442.1290323,8.903225806,0.096774194,27.22580645,60.67741935,8.290322581,17.35483871,22.83870968,11.38709677,26.87096774,16.90322581,12.77419355,7.451612903,5.64516129,16.22580645,0
2003,1354,1328,0,0,136,0,502.6333333,1.533333333,0.033333333,24.8,54.36666667,5.166666667,18.03333333,25.8,12.96666667,24.26666667,10.26666667,19.46666667,8,2.9,20.73333333,0,325.5333333,11,0.1,25.26666667,56.53333333,7.466666667,13.16666667,18.6,12.13333333,24.96666667,14.16666667,11.8,6.933333333,3.766666667,18.6,0
