Season,team,avg_score,avg_diff,avg_numot,avg_fgm,avg_fga,avg_fgm3,avg_ftm,avg_fta,avg_or,avg_dr,avg_ast,avg_to,avg_stl,avg_blk,avg_pf
2003,1102,659.1785714,0.25,0,19.14285714,39.78571429,7.821428571,11.14285714,17.10714286,4.178571429,16.82142857,13,11.42857143,5.964285714,1.785714286,18.75
2003,1103,614.1851852,0.62962963,0.296296296,27.14814815,55.85185185,5.444444444,19.03703704,25.85185185,9.777777778,19.92592593,15.22222222,12.62962963,7.259259259,2.333333333,19.85185185
2003,1104,479.0714286,4.285714286,0.035714286,24.03571429,57.17857143,6.357142857,14.85714286,20.92857143,13.57142857,23.92857143,12.10714286,13.28571429,6.607142857,3.785714286,18.03571429
2003,1105,828.8846154,-4.884615385,0.153846154,24.38461538,61.61538462,7.576923077,15.42307692,21.84615385,13.5,23.11538462,14.53846154,18.65384615,9.307692308,2.076923077,20.23076923
2003,1106,624.2142857,-0.142857143,0.035714286,23.42857143,55.28571429,6.107142857,10.64285714,16.46428571,12.28571429,23.85714286,11.67857143,17.03571429,8.357142857,3.142857143,18.17857143
2003,1107,847.8214286,-9.785714286,0.214285714,24.03571429,57.46428571,7.928571429,9.928571429,13.53571429,8.25,20.25,11.92857143,12.57142857,6.857142857,2.035714286,15.89285714
2003,1108,669.7575758,-4.03030303,0.060606061,24.93939394,58.72727273,5.212121212,14,20.93939394,13.12121212,23.21212121,13.84848485,18.45454545,8.181818182,3.515151515,19.66666667
2003,1110,556.2333333,4.466666667,0.066666667,23.16666667,53.53333333,8.766666667,11.26666667,16.53333333,10,23.13333333,14.23333333,13.16666667,6.4,1.733333333,18.13333333
2003,1111,481.5384615,1.538461538,0.153846154,28.61538462,64.5,7.192307692,18.84615385,26.19230769,13,25.30769231,15.23076923,16.19230769,9.846153846,4.615384615,18.69230769
2003,1112,196.1071429,14.96428571,0.071428571,30.32142857,65.71428571,7.035714286,17.53571429,25,15.17857143,27.64285714,17.64285714,14.78571429,8.464285714,4.214285714,17.75
2003,1113,472.2758621,6.793103448,0.068965517,27.20689655,56.89655172,4,17.55172414,26.20689655,13.68965517,23.31034483,15.55172414,14,5.206896552,4.24137931,19.4137931
2003,1114,518.5,-0.035714286,0.25,23.85714286,53.21428571,6.785714286,15.53571429,22.42857143,10.53571429,22.85714286,11.5,15.96428571,6.607142857,2.357142857,20.5
2003,1115,965,-19.67857143,0.035714286,19.25,54.28571429,4.75,11.25,17.60714286,9.964285714,21.03571429,10.17857143,19.10714286,7.964285714,2.75,20.25
2003,1116,780.25,-4.892857143,0,21.82142857,55.57142857,6.071428571,11.92857143,19.57142857,14.53571429,23.42857143,9.821428571,16.67857143,6.464285714,3.535714286,20.92857143
2003,1117,678.3846154,1.307692308,0.038461538,23.69230769,54.69230769,7.923076923,15.80769231,21.42307692,10.96153846,20.38461538,11.92307692,13.26923077,7.153846154,1.653846154,21.42307692
2003,1119,993.08,-13.8,0,19.6,47.6,5.88,8.6,12.72,7.92,21.56,11.72,17.36,5.56,1.6,19.32
2003,1120,458.7333333,4.533333333,0,25.7,54.7,5.633333333,13.06666667,19.73333333,11.93333333,22.56666667,13.4,15.9,8.033333333,4.966666667,16.36666667
2003,1122,344.5555556,2,0.148148148,23.55555556,52.07407407,6,16.59259259,24,10.62962963,24.22222222,13.40740741,15.22222222,7.037037037,4.666666667,18.66666667
2003,1123,671.4666667,-2.733333333,0.033333333,25.93333333,60.46666667,5.366666667,16.06666667,22.13333333,13.16666667,21.73333333,10.5,12.83333333,5.2,2.2,22.86666667
