team1,team2,result,daynum,loc,avg_score_1,avg_diff_1,avg_numot_1,avg_fgm_1,avg_fga_1,avg_fgm3_1,avg_ftm_1,avg_fta_1,avg_or_1,avg_dr_1,avg_ast_1,avg_to_1,avg_stl_1,avg_blk_1,avg_pf_1,avg_score_2,avg_diff_2,avg_numot_2,avg_fgm_2,avg_fga_2,avg_fgm3_2,avg_ftm_2,avg_fta_2,avg_or_2,avg_dr_2,avg_ast_2,avg_to_2,avg_stl_2,avg_blk_2,avg_pf_2
1104,1401,0,100,-1,389.6764706,10.38235294,0.058823529,26.64705882,59.29411765,7.676470588,14.94117647,22.20588235,12.82352941,26.05882353,16.88235294,11.79411765,6.911764706,3.764705882,18.08823529,523,-0.96875,0.0625,22.53125,52.8125,7.84375,13.9375,21.78125,9.78125,24.875,10.5625,13.3125,5.625,5.28125,19.3125
1122,1183,0,100,1,749.1785714,-4.821428571,0.142857143,24.82142857,57.35714286,7.571428571,13,19.78571429,9.857142857,22.96428571,13.32142857,12.5,5.892857143,2.107142857,20.14285714,618.4242424,-2.363636364,0.121212121,25.57575758,55.66666667,6.212121212,17.36363636,25.90909091,11.09090909,24.78787879,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364
1124,1243,0,100,1,641.3333333,2.515151515,0.151515152,24.39393939,56.84848485,5.303030303,16.63636364,24.18181818,13.24242424,23.21212121,13.87878788,13.93939394,7.545454545,2.757575758,19.96969697,440.09375,6.6875,0.09375,26.8125,57.875,6.1875,16.5,22.6875,13.5625,23.21875,17.09375,12.8125,7.71875,3.96875,19.40625
1125,1240,0,100,-1,999.0689655,-6.310344828,0.034482759,22.68965517,57.10344828,7.896551724,13.03448276,17.65517241,9.862068966,21.48275862,11.62068966,10.82758621,4.931034483,2.896551724,19.89655172,467.3333333,3.7,0.033333333,28.73333333,58.06666667,10.53333333,14.46666667,20.03333333,8.6,26,17.33333333,14.16666667,4.5,2.333333333,20.1
1131,1110,0,100,-1,705.8709677,-8.096774194,0.064516129,20.35483871,47.96774194,6.290322581,10.58064516,15.19354839,7.032258065,21.16129032,11.22580645,13.80645161,5.677419355,2.225806452,18.29032258,552.0967742,-0.193548387,0.225806452,25.16129032,55.64516129,7.741935484,14.70967742,20.61290323,8.967741935,26.80645161,13.06451613,13.67741935,5.709677419,3.838709677,19.19354839
1139,1371,0,100,1,389.9090909,7.060606061,0.03030303,26.42424242,58.6969697,6.121212121,15.87878788,23.84848485,12.87878788,27.15151515,13.54545455,13.84848485,7.272727273,4.666666667,18.66666667,426.8064516,9.419354839,0.032258065,28,60.12903226,7.096774194,17.48387097,23.90322581,11.41935484,25,14.35483871,10.22580645,6.774193548,3.35483871,19.90322581
1161,1129,0,100,-1,499.1,4.1,0.066666667,25.7,57.46666667,7.966666667,16.63333333,23.5,9.366666667,24.46666667,13.06666667,11.6,6.3,2.033333333,19.8,623.34375,0.78125,0.25,25.5,60.65625,9.5,18.4375,25.6875,12.84375,27.09375,13.09375,11.65625,3.71875,2.375,19.625
1169,1168,0,100,-1,855.25,-6.357142857,0.035714286,22.89285714,56.35714286,6.464285714,17.07142857,24.64285714,11.07142857,25.28571429,9.821428571,13.35714286,4.892857143,1.392857143,20.96428571,857.1785714,-6,0.178571429,24.71428571,57.64285714,4.321428571,17.39285714,24.25,10.17857143,25.57142857,13.89285714,14.14285714,6.678571429,3.214285714,20.67857143
1172,1247,0,100,-1,934.6666667,-10.73333333,0,21.96666667,54.8,8.3,11.3,16.93333333,8.8,21.56666667,12.56666667,12.56666667,6.666666667,2.866666667,17.26666667,505.8709677,0.935483871,0.032258065,27.12903226,61.25806452,9.483870968,15.32258065,20.09677419,9.419354839,25.5483871,14.90322581,10.06451613,4.580645161,3.161290323,17.35483871
1201,1361,0,100,-1,434.9375,7.375,0.0625,22.71875,54.5625,5.875,16.53125,24.15625,11.71875,27.03125,10.625,12.53125,5.59375,5.4375,17.71875,393.3125,3.46875,0.125,26.125,60.6875,6.28125,16.09375,23.125,11.4375,25.59375,13.0625,10.625,8.15625,3.71875,22.25
